"","country","Individuals_Midpoint","Individuals_Lower","Individuals_Upper"
"1","Albania",219049383.467425,110973636.541299,327125130.393551
"2","Algeria",262592588.11599,138220298.327759,386964877.90422
"3","Angola",140400000,1.35e+08,145800000
"4","Argentina",26435528518.2026,19381658672.7689,33489398363.6364
"5","Australia",1314297088.41874,593508090.282865,2035086086.55462
"6","Bahrain",205833333.333333,86666666.6666667,3.25e+08
"7","Belgium",3125250000,694500000,5.556e+09
"8","Benin",59169642.8571429,17625000,100714285.714286
"9","Brazil",6345783479.06437,3023731460.29325,9667835497.8355
"10","Brunei Darussalam",47353019167.2648,952837481.998277,93753200852.5312
"11","Bulgaria",4865625,1081250,8650000
"12","Burkina Faso",4351450000,2900000,8.7e+09
"13","Cambodia",896580387.205387,419675925.925926,1373484848.48485
"14","Cameroon",2586678571.42857,770500000,4402857142.85714
"15","Canada",35638624903.7999,4796901322.75132,66480348484.8485
"16","Chile",517247619.047619,224895238.095238,809600000
"17","China",25048054780665.6,3415158633300.87,46680950928030.3
"18","China, Hong Kong SAR",347159090.909091,162500000,531818181.818182
"19","China, Macao SAR",22748316.4983165,10648148.1481481,34848484.8484849
"20","Colombia",385483914.502164,127249295.670996,643718533.333333
"21","Congo",88272382.4352548,40354150,136190614.87051
"22","Costa Rica",19881769.047619,4901585.71428571,34861952.3809524
"23","Côte d'Ivoire",19723214.2857143,5875000,33571428.5714286
"24","Croatia",131439286.25731,66992900,195885672.51462
"25","Cuba",34387012.987013,26745454.5454545,42028571.4285714
"26","Cyprus",241859.244491674,111026.455870262,372692.033113086
"27","Denmark",10818459723.8758,2109334366.16656,19527585081.5851
"28","Dominican Republic",4867857.14285714,1450000,8285714.28571429
"29","Ecuador",1653097591.72078,1022420004.22078,2283775179.22078
"30","Egypt",100846193642.566,405335185.185185,201287052099.947
"31","El Salvador",402578862.121212,79308166.6666667,725849557.575758
"32","Eritrea",33151785.7142857,9875000,56428571.4285714
"33","Estonia",4914686250,655291500,9174081000
"34","Faroe Islands",2322696428.57143,309692857.142857,4335700000
"35","France",2908523902.65115,436241216.52207,5380806588.78023
"36","French Guiana",16617857.1428571,4950000,28285714.2857143
"37","Gabon",14220496.8944099,4714285.71428571,23726708.0745342
"38","Gambia",50366340.8385093,45428464.2857143,55304217.3913044
"39","Germany",50892030000,11309340000,90474720000
"40","Ghana",132866982.323232,62193055.5555556,203540909.090909
"41","Greece",726324941.520468,369963333.333333,1082686549.7076
"42","Greenland",59370395454.5455,7916590909.09091,110824200000
"43","Guatemala",102357738.095238,20167857.1428571,184547619.047619
"44","Guinea",52875000,15750000,9e+07
"45","Guinea-Bissau",227014.866574649,149284.391534392,304745.341614907
"46","Guyana",4036829761.90476,2511683333.33333,5561976190.47619
"47","Haiti",9890572.39057239,4629629.62962963,15151515.1515152
"48","Honduras",41125000,12250000,7e+07
"49","Iceland",1675062321.42857,223341642.857143,3126783000
"50","India",20780594619.0416,9202532363.62434,32358656874.4589
"51","Indonesia",166519965666.617,6793615632.8836,326246315700.35
"52","Iran (Islamic Rep. of)",1201407828.28283,562361111.111111,1840454545.45455
"53","Iraq",178362500,75100000,281625000
"54","Ireland",6700253104.61513,91497209.2302675,13309009000
"55","Israel",533333.333333333,4e+05,666666.666666667
"56","Italy",1882268565.18353,841157205.184124,2923379925.18294
"57","Japan",11021934848.4848,533900000,21509969696.9697
"58","Korea, Republic of",2083417305416,278577266186.162,3888257344645.83
"59","Kuwait",99400252.5252525,46527777.7777778,152272727.272727
"60","Lebanon",989057.239057239,462962.962962963,1515151.51515152
"61","Liberia",145101.811768478,88183.4215167549,202020.202020202
"62","Libya",34333333.3333333,17166666.6666667,51500000
"63","Lithuania",2384003035.71429,317867071.428571,4450139000
"64","Madagascar",1195078851.0101,559398611.111111,1830759090.90909
"65","Malaysia",5563326213952.98,107430506697.545,11019221921208.4
"66","Malta",4728474.00844931,1672425.18499617,7784522.83190245
"67","Mauritania",36296783.625731,18500000,54093567.251462
"68","Mexico",5684796698.14327,3212578145.14915,8157015251.1374
"69","Montenegro",3119561.40350877,1590000,4649122.80701754
"70","Morocco",589348053.451178,275865046.296296,902831060.606061
"71","Mozambique",365317209450.674,21168981926.5576,709465436974.79
"72","Myanmar",2594297138.04714,1214351851.85185,3974242424.24242
