"","COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","MEASURE","PERIOD","VALUE","STATUS","Scientific_Name","Name_En","Clade","country","Continent_Group_En","GeoRegion_Group_En","EcoClass_Group_En","GEMW_g_Lower","GEMW_g_Upper","GEMW_g_Midpoint","Scientific_Name_Match","VALUE_g","Individuals_Lower","Individuals_Upper","Individuals_Midpoint"
"2519",8,"TGS",37,"Q_tlw",2020,66,"","Penaeus kerathurus","Caramote prawn","Penaeid","Albania","Europe","Southern Europe","Upper-middle income countries",10,30,20,"Penaeus kerathurus",6.6e+07,2200000,6600000,4400000
"2546",8,"DPS",37,"Q_tlw",2020,1026,"","Parapenaeus longirostris","Deep-water rose shrimp","Penaeid","Albania","Europe","Southern Europe","Upper-middle income countries",3.42,10,6.71,"Parapenaeus longirostris",1.026e+09,102600000,3e+08,201300000
"2573",8,"ARS",37,"Q_tlw",2020,65,"","Aristaeomorpha foliacea","Giant red shrimp","Penaeid","Albania","Europe","Southern Europe","Upper-middle income countries",5.7,39.19,22.445,"Aristaeomorpha foliacea",6.5e+07,1658586.37407502,11403508.7719298,6531047.57300242
"2579",8,"ARA",37,"Q_tlw",2020,135,"","Aristeus antennatus","Blue and red shrimp","Penaeid","Albania","Europe","Southern Europe","Upper-middle income countries",14.8,29.9,22.35,"Aristeus antennatus",1.35e+08,4515050.16722408,9121621.62162162,6818335.89442285
"4965",12,"DPS",37,"Q_tlw",2020,1192.008,"","Parapenaeus longirostris","Deep-water rose shrimp","Penaeid","Algeria","Africa","Northern Africa","Lower-middle income countries",3.42,10,6.71,"Parapenaeus longirostris",1192008000,119200800,348540350.877193,233870575.438596
"5037",12,"ARA",37,"Q_tlw",2020,568.683,"","Aristeus antennatus","Blue and red shrimp","Penaeid","Algeria","Africa","Northern Africa","Lower-middle income countries",14.8,29.9,22.35,"Aristeus antennatus",568683000,19019498.3277592,38424527.027027,28722012.6773931
"12318",24,"ARV",47,"Q_tlw",2020,3645,"","Aristeus varidens","Striped red shrimp","Penaeid","Angola","Africa","Middle Africa","Lower-middle income countries",25,27,26,"Aristeus varidens",3.645e+09,1.35e+08,145800000,140400000
"20609",32,"ASH",41,"Q_tlw",2020,48.142,"","Artemesia longinaris","Argentine stiletto shrimp","Penaeid","Argentina","Americas","South America","Upper-middle income countries",1,2.3,1.65,"Artemesia longinaris",48142000,20931304.3478261,48142000,34536652.173913
"20681",32,"LAA",41,"Q_tlw",2020,183926.91,"","Pleoticus muelleri","Argentine red shrimp","Penaeid","Argentina","Americas","South America","Upper-middle income countries",5.5,9.5,7.5,"Pleoticus muelleri",183926910000,19360727368.4211,33441256363.6364,26400991866.0287
"38125",36,"PEN",57,"Q_tlw",2020,2831.21,"","Penaeus spp","Penaeus shrimps nei","Penaeid","Australia","Oceania","Australia and New Zealand","High-income countries",7,40,23.5,"Penaeus spp",2831210000,70780250,404458571.428571,237619410.714286
"38194",36,"PEN",71,"Q_tlw",2020,3382.483,"","Penaeus spp","Penaeus shrimps nei","Penaeid","Australia","Oceania","Australia and New Zealand","High-income countries",7,40,23.5,"Penaeus spp",3382483000,84562075,483211857.142857,283886966.071429
"38266",36,"PEN",81,"Q_tlw",2020,844.378,"","Penaeus spp","Penaeus shrimps nei","Penaeid","Australia","Oceania","Australia and New Zealand","High-income countries",7,40,23.5,"Penaeus spp",844378000,21109450,120625428.571429,70867439.2857143
