"","Reporting.country.Name.En","X2021"
"1","Argentina",165511.2824
"2","Brazil",588.49
"3","Brunei Darussalam",3956.5364
"4","Canada",52533.465
"5","China",181219.4324
"6","Denmark",126537.075
"7","Egypt",1792.4773
"8","Germany",48278.205
"9","Greenland",73389.7525
"10","India",741024.397
"11","Indonesia",256285.4003
"12","Ireland",1509.166
"13","Japan",1193.445
"14","Korea, Republic of",54460.71
"15","Malaysia",51047.5889
"16","Mexico",24354.959
"17","Mozambique",4655.0031
"18","Netherlands (Kingdom of the)",96820.006
"19","Norway",49447.659
"20","Philippines",5399.116
"21","Russian Federation",18186
"22","Thailand",160177.4445
"23","United Kingdom",7488.271
"24","United States of America",16383.787
"25","Viet Nam",410937.9641
