"","Partner.country.Name.En","Reporting.country.Name.En","X2021","X2021_percent"
"18","Spain","Argentina",63266.7962,38.2
"9","Italy","Argentina",25374.6438,15.3
"3","China","Argentina",12795.0965,7.7
"13","Other nei","Argentina",10592.4426,6.4
"10","Japan","Argentina",10123.392,6.1
"14","Peru","Argentina",9222.9205,5.6
"20","Thailand","Argentina",7548.678,4.6
"23","United States of America","Argentina",6805.007,4.1
"16","Russian Federation","Argentina",5010.4545,3
"24","Viet Nam","Argentina",2804.4815,1.7
"8","Indonesia","Argentina",2037.689,1.2
"17","South Africa","Argentina",2006.028,1.2
"5","France","Argentina",1880.144,1.1
"6","Greece","Argentina",1785.84,1.1
"7","Guatemala","Argentina",1492.237,0.9
"19","Taiwan Province of China","Argentina",868.524,0.5
"21","Ukraine","Argentina",516.27,0.3
"11","Korea, Republic of","Argentina",390.204,0.2
"12","Netherlands (Kingdom of the)","Argentina",289.928,0.2
"22","United Kingdom","Argentina",255.1102,0.2
"4","China, Hong Kong SAR","Argentina",190.8,0.1
"15","Portugal","Argentina",134.7216,0.1
"1","Belgium","Argentina",58.086,0
"2","Brazil","Argentina",61.788,0
"54","Japan","Brazil",217.49,37
"80","United Arab Emirates","Brazil",112.04,19
"58","Malaysia","Brazil",83.2,14.1
"82","United States of America","Brazil",73.558,12.5
"84","Viet Nam","Brazil",46.133,7.8
"36","China, Hong Kong SAR","Brazil",13.001,2.2
"60","Marshall Islands","Brazil",7.45,1.3
"66","Panama","Brazil",7.53,1.3
"72","Singapore","Brazil",4.98,0.8
"57","Liberia","Brazil",4.338,0.7
"26","Bahamas","Brazil",2.606,0.4
"59","Malta","Brazil",2.116,0.4
"32","Canada","Brazil",1.773,0.3
"49","Greece","Brazil",1.653,0.3
"64","Norway","Brazil",1.971,0.3
"39","Cyprus","Brazil",1.256,0.2
"40","Denmark","Brazil",1.196,0.2
"77","Thailand","Brazil",1.24,0.2
"35","China","Brazil",0.341,0.1
"47","Germany","Brazil",0.308,0.1
"67","Philippines","Brazil",0.385,0.1
"69","Portugal","Brazil",0.755,0.1
"81","United Kingdom","Brazil",0.761,0.1
"25","Antigua and Barbuda","Brazil",0.187,0
"27","Bahrain","Brazil",0.232,0
"28","Bangladesh","Brazil",0.01,0
"29","Barbados","Brazil",0.044,0
"30","Belgium","Brazil",0.13,0
"31","Bermuda","Brazil",0.082,0
"33","Cayman Islands","Brazil",0.109,0
"34","Chile","Brazil",0.007,0
"37","Congo","Brazil",0.01,0
"38","Curaçao","Brazil",0.012,0
"41","Ecuador","Brazil",0.01,0
"42","Egypt","Brazil",0.02,0
"43","Eswatini","Brazil",0.02,0
"44","Falkland Is.(Malvinas)","Brazil",0.04,0
"45","France","Brazil",0.091,0
"46","Georgia","Brazil",0.06,0
"48","Gibraltar","Brazil",0.074,0
"50","India","Brazil",0.18,0
"51","Iran (Islamic Rep. of)","Brazil",0.051,0
"52","Ireland","Brazil",0.01,0
"53","Italy","Brazil",0.059,0
"55","Korea, Republic of","Brazil",0.256,0
"56","Lebanon","Brazil",0.004,0
"61","Montenegro","Brazil",0.02,0
"62","Morocco","Brazil",0.04,0
"63","Netherlands (Kingdom of the)","Brazil",0.142,0
"65","Other nei","Brazil",0.175,0
"68","Poland","Brazil",0.03,0
"70","Saint Vincent/Grenadines","Brazil",0.027,0
"71","Senegal","Brazil",0.02,0
"73","Spain","Brazil",0.01,0
"74","Sweden","Brazil",0.035,0
"75","Switzerland","Brazil",0.046,0
"76","Taiwan Province of China","Brazil",0.076,0
"78","Türkiye","Brazil",0.07,0
"79","Tuvalu","Brazil",0.01,0
"83","Vanuatu","Brazil",0.01,0
"92","Taiwan Province of China","Brunei Darussalam",1380,34.9
"88","Japan","Brunei Darussalam",1372.014,34.7
"91","Singapore","Brunei Darussalam",525.014,13.3
"85","Australia","Brunei Darussalam",352,8.9
"86","China","Brunei Darussalam",249,6.3
"87","China, Hong Kong SAR","Brunei Darussalam",54,1.4
