
Reporting country Name En,Partner country Name En,Commodity Name En,Trade flow Name En,Unit Name,2021,2021 Flag
Argentina,Belgium,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,58.086,
Argentina,Brazil,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,61.788,
Argentina,China,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,12795.0965,
Argentina,"China, Hong Kong SAR","Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,190.8,
Argentina,France,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,1880.144,
Argentina,Greece,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,1785.84,
Argentina,Guatemala,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,1492.237,
Argentina,Indonesia,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,2037.689,
Argentina,Italy,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,25374.6438,
Argentina,Japan,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,10123.392,
Argentina,"Korea, Republic of","Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,390.204,
Argentina,Netherlands (Kingdom of the),"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,289.928,
Argentina,Other nei,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,10592.4426,
Argentina,Peru,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,9222.9205,
Argentina,Portugal,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,134.7216,
Argentina,Russian Federation,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,5010.4545,
Argentina,South Africa,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,2006.028,
Argentina,Spain,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,63266.7962,
Argentina,Taiwan Province of China,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,868.524,
Argentina,Thailand,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,7548.678,
Argentina,Ukraine,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,516.27,
Argentina,United Kingdom,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,255.1102,
Argentina,United States of America,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,6805.007,
Argentina,Viet Nam,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,2804.4815,
Brazil,Antigua and Barbuda,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Exports,Tonnes ? net product weight,0.01,
Brazil,Antigua and Barbuda,"Crustaceans nei, even smoked, frozen",Exports,Tonnes ? net product weight,0.021,
Brazil,Antigua and Barbuda,"Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.016,
Brazil,Antigua and Barbuda,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.14,
Brazil,Bahamas,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Exports,Tonnes ? net product weight,0.369,
Brazil,Bahamas,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled",Exports,Tonnes ? net product weight,0.01,
Brazil,Bahamas,"Crustaceans nei, dried, salted or in brine, smoked",Exports,Tonnes ? net product weight,0.01,
Brazil,Bahamas,"Crustaceans nei, even smoked, frozen",Exports,Tonnes ? net product weight,0.01,
Brazil,Bahamas,"Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.58,
Brazil,Bahamas,"Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes ? net product weight,0.05,
Brazil,Bahamas,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,1.577,
Brazil,Bahrain,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.232,
Brazil,Bangladesh,"Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.01,
Brazil,Barbados,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Exports,Tonnes ? net product weight,0.002,
Brazil,Barbados,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.042,
Brazil,Belgium,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.13,
Brazil,Bermuda,"Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.02,
Brazil,Bermuda,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.062,
Brazil,Canada,"Crustaceans nei, even smoked, frozen",Exports,Tonnes ? net product weight,1.773,
Brazil,Cayman Islands,"Crustaceans nei, even smoked, frozen",Exports,Tonnes ? net product weight,0.008,
Brazil,Cayman Islands,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.101,
Brazil,Chile,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.007,
Brazil,China,"Crustaceans, live, fresh, chilled or boiled in water, nei",Exports,Tonnes ? net product weight,0.005,
Brazil,China,"Crustaceans nei, dried, salted or in brine, smoked",Exports,Tonnes ? net product weight,0.01,
Brazil,China,"Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.02,
Brazil,China,"Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes ? net product weight,0.005,
Brazil,China,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.301,
Brazil,"China, Hong Kong SAR","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Exports,Tonnes ? net product weight,0.08,
Brazil,"China, Hong Kong SAR","Crustaceans, live, fresh, chilled or boiled in water, nei",Exports,Tonnes ? net product weight,9.268,
Brazil,"China, Hong Kong SAR","Crustaceans nei, even smoked, frozen",Exports,Tonnes ? net product weight,0.025,
Brazil,"China, Hong Kong SAR","Crustaceans nei, prepared or preserved",Exports,Tonnes ? net product weight,0.037,
Brazil,"China, Hong Kong SAR","Shrimps and prawns, dried, salted or in brine, smoked nei",Exports,Tonnes ? net product weight,0.572,
Brazil,"China, Hong Kong SAR","Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes ? net product weight,0.005,
Brazil,"China, Hong Kong SAR","Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,2.962,
Brazil,"China, Hong Kong SAR","Shrimps and prawns, prep. or pres., in airtight containers",Exports,Tonnes ? net product weight,0.052,
Brazil,Congo,"Shrimps and prawns, prep. or pres., in airtight containers",Exports,Tonnes ? net product weight,0.01,
Brazil,Curaçao,"Shrimps and prawns, other than coldwater, even smoked, frozen",Exports,Tonnes ? net product weight,0.012,
Brazil,Cyprus,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Exports,Tonnes ? net product weight,0.333,
